Name,Gender,Nationality,Department,Position,Age,Birthdate,Email,Phone,Address,Hire Date,Contract Type,Employee ID,Salary,Termination Date
Melanie Willis,Other,German,Cashier,Lead Cashier,42,3/12/1983,jameswilliams@example.org,(253)229-0367x645,"65135 Joseph Crossroad Apt. 923
Marthaside, SD 26483",11/18/1987,Full-time,EMP1130,34579.1,
Whitney Melton,Male,Canadian,Sales,Sales Associate,-5,1/30/1993,calebrodgers@example.com,(373)315-7832x8499,"07119 Conner Unions
New Calebhaven, AL 05792",9/12/2003,Part-time,EMP1131,73365.99,
Terry Mcbride,Female,American,Inventory,Stock Clerk,65,6/28/1960,stephen35@example.com,001-368-559-8124,"2250 Robert Knolls Suite 319
Port Tony, RI 43304",10/13/1983,Temporary,EMP1132,31738.63,
Jared Salinas,Other,Indian,Cashier,Lead Cashier,49,2/15/1976,invalid_email.com,409-328-9440x9905,"82794 Jeffrey Drive
Beckborough, HI 80655",7/4/1965,Freelance,EMP1133,68067.4,5/21/1970
Michael Price,Other,Mexican,Sales,Senior Salesperson,54,3/27/1971,invalid_email.com,236.845.6788,"Unit 1401 Box 0260
DPO AE 83839",10/22/1966,Temporary,EMP1134,58659.57,
Abigail Mcbride,Other,Mexican,Inventory,Warehouse Assistant,19,9/11/2006,andrewsummers@example.org,-10725,"Unit 0503 Box 4732
DPO AA 06295",9/22/2021,Full-time,EMP1135,50132.81,
Laura Norris,Male,British,Management,Assistant Manager,42,8/26/1983,lewisstephanie@example.org,+1-434-939-4850x3163,"441 Hall Glen Suite 918
South Rachel, RI 49138",2/27/1996,Freelance,EMP1136,79836.96,10/20/2004
Barry Young,Female,Canadian,Inventory,Stock Clerk,20,12/8/2005,ltaylor@example.org,(541)888-6907x9037,"311 Taylor Glens
Jacobshire, AL 09559",5/15/1994,Freelance,EMP1137,72103.3,8/13/2002
Priscilla Valdez,Female,Canadian,Cashier,Lead Cashier,20,11/23/2005,sanchezamanda@example.com,+1-757-994-3210x606,"366 Scott Rapid
Huntmouth, OK 32494",5/30/2015,Freelance,EMP1138,38940.78,
Antonio Hansen,Other,French,Management,Store Manager,52,7/9/1973,hendersonjames@example.org,001-860-261-8120x69203,"18874 Carlson Valley Suite 359
Ambermouth, PR 76047",12/5/1978,Part-time,EMP1139,29714.18,
Brooke Bell,Male,German,Cashier,Cashier,34,2/7/1991,plewis@example.net,001-298-859-6710,"1560 Carlos Forest
Valeriefort, ME 11982",12/19/1988,Temporary,EMP1140,72699.15,11/8/1991
Christopher Berry,Female,American,Sales,Senior Salesperson,21,1/30/2004,beasleyjoshua@example.net,001-975-662-1756x327,"34934 Park Roads
East Victoria, NH 75891",11/30/2009,Full-time,EMP1141,27762.36,3/10/2014
Michelle Alexander,Female,German,Management,Assistant Manager,43,9/25/1982,qtucker@example.org,306-928-2209x23732,"USS Smith
FPO AA 54580",7/23/1971,Temporary,EMP1142,77006.29,
Denise Wallace,Female,French,Inventory,Stock Clerk,64,5/5/1961,cohenwilliam@example.com,713.491.2582x226,"4168 Carroll Common Apt. 562
Gibbsstad, MO 75371",4/10/1969,Full-time,EMP1143,61138.92,
Karen Wallace,Male,British,Customer Service,Support Agent,63,1/21/1962,matabradley@example.com,(682)556-3651,"1441 Estrada Trafficway
Greggmouth, MD 22110",5/8/1950,Freelance,EMP1144,59163.43,
Nicole Ramos,Female,American,Cashier,Cashier,19,1/12/2006,smithchristopher@example.com,201-393-0174x09634,"93958 David Village
Browntown, AZ 34704",8/31/2011,Part-time,EMP1145,30736.2,
Jenny Daniel,Female,German,Cashier,Cashier,25,10/5/2000,invalid_email.com,299-343-5251,"0669 Makayla Parkway Suite 283
South Charlesport, VI 03766",4/11/1999,Part-time,EMP1146,78795.41,5/19/2005
William Peterson,Other,French,Customer Service,Customer Service Rep,60,4/27/1965,invalid_email.com,(739)447-5916,"31991 Jeremy Neck
Racheltown, WY 26142",1/7/1976,Full-time,EMP1147,26161.02,
Paul Harrell,Other,French,Inventory,Stock Clerk,55,4/4/1970,invalid_email.com,001-868-650-6692x4474,"7108 Joseph Ford Apt. 402
Port Lisabury, MO 80379",7/2/1964,Full-time,EMP1148,54216.74,
Megan Gonzalez,Other,Indian,Inventory,Stock Clerk,22,3/13/2003,pmccoy@example.net,+1-497-809-1483x53492,"605 Brown Burg Apt. 716
South Johnnyland, NY 01840",9/2/2006,Temporary,EMP1149,78517.76,2/13/2013
Robert Hendricks,Other,Indian,Cashier,Cashier,65,7/24/1960,christianwright@example.org,773-980-0065,"20505 Andrea Alley
Lihaven, AR 68121",10/21/1967,Temporary,EMP1150,76051.29,1/24/1977
Sarah Byrd,Female,German,Cashier,Lead Cashier,40,11/6/1985,flemingkevin@example.org,(378)556-0045x9653,"2646 Lewis Springs Suite 875
Jillshire, DE 79678",7/28/1977,Full-time,EMP1151,57117.33,8/2/1981
Dennis Barker,Male,Canadian,Management,Assistant Manager,29,6/20/1996,bergkimberly@example.org,+1-636-776-4498x8391,"124 Li Trail Suite 223
Stevensside, AL 15265",5/23/1990,Full-time,EMP1152,55495.77,
Reginald Zavala,Female,French,Inventory,Stock Clerk,64,4/14/1961,nbauer@example.com,680-421-3404x83313,"9969 Jennifer Mews Apt. 143
Lake Tracymouth, NV 26672",8/16/1965,Part-time,EMP1153,49198.71,11/2/1967
Dr. Jessica Cox MD,Male,French,Sales,Sales Associate,61,6/11/1964,harringtonkristen@example.com,588.760.0007x30978,"694 Derrick Islands
New Isaiah, MP 82925",5/12/1987,Full-time,EMP1154,61332.13,10/7/1996
Lee Cohen,Other,Canadian,Sales,Sales Associate,19,3/18/2006,timothy74@example.net,619.415.5890x270,"PSC 4972, Box 0236
APO AA 53595",4/27/2031,Full-time,EMP1155,76320.96,
Jennifer Juarez,Other,American,Inventory,Warehouse Assistant,50,1/5/1975,thomasjulia@example.org,426.848.4420x90035,"457 Price Expressway
West Chelseashire, NJ 30819",4/29/1985,Temporary,EMP1156,74949.99,2/12/1995
Susan Horn,Male,German,Management,Store Manager,31,12/11/1994,invalid_email.com,599.548.1976,"9450 Aguilar Centers
North Wanda, VI 78968",5/22/1992,Freelance,EMP1157,26686.61,8/9/1995
Edward Clements,Other,American,Sales,Sales Associate,22,5/6/2003,amandawaller@example.com,668.880.7459x0127,"389 Hanna Way Apt. 054
Morrismouth, CO 99845",12/16/1989,Freelance,EMP1158,72399.22,10/21/1993
James Chavez,Female,Indian,Customer Service,Support Agent,43,8/16/1982,schroederamanda@example.org,001-879-422-5093x7625,"0975 Clarence Stravenue Suite 813
Roweberg, CO 88090",5/20/2004,Full-time,EMP1159,35191.51,11/15/2007
Mary Rosales,Male,German,Inventory,Warehouse Assistant,-5,10/18/1980,dtaylor@example.com,+1-411-324-0082x4462,,8/28/2006,Freelance,EMP1160,46555.18,11/30/2009
Kayla Cunningham,Male,Mexican,Customer Service,Support Agent,49,7/8/1976,eanderson@example.org,(962)863-5760x87818,"4975 Betty Springs Suite 027
Wheelerborough, DC 16762",4/23/1997,Full-time,EMP1161,29318.32,
Michael Rosales,Male,French,Management,Assistant Manager,24,8/16/2001,uweber@example.net,(338)310-3141,"32726 Ian Gardens Suite 526
New Laurenstad, DE 04394",1/5/1999,Freelance,EMP1162,73540.9,2/19/2006
Christopher Williams,Male,German,Customer Service,Support Agent,61,6/20/1964,cwhite@example.net,(558)614-9212,"94322 Amanda Streets Suite 665
Michelleberg, NH 96007",1/18/1959,Part-time,EMP1163,66671.62,4/3/1965
Danielle Rosales,Female,Mexican,Cashier,Cashier,35,10/24/1990,murphykenneth@example.org,2068058663,"45344 Mcclure Greens Apt. 271
Johntown, RI 78863",3/6/2010,Temporary,EMP1164,63680.99,
Karen Perez,Male,Canadian,Customer Service,Customer Service Rep,44,3/27/1981,gonzalesjason@example.org,690-536-3720,"USS Kennedy
FPO AP 12605",2/12/1989,Part-time,EMP1165,28747.26,4/26/1991
Mrs. Mackenzie Cox DVM,Other,French,Customer Service,Customer Service Rep,54,5/26/1971,timothy77@example.com,+1-973-626-0014x009,,2/18/1962,Temporary,EMP1166,55368.98,6/9/1964
Franklin Hodges,Male,German,Inventory,Warehouse Assistant,54,12/14/1971,aaronnguyen@example.org,(349)856-5463,"021 Crystal Parkways Suite 754
Peterston, CO 76757",6/8/1993,Temporary,EMP1167,40358.15,3/21/1995
Stacey Garza,Other,French,Customer Service,Support Agent,31,9/26/1994,tina24@example.net,+1-643-252-2832x8671,"854 Cooley Wall
West Michael, MN 21865",9/14/1999,Full-time,EMP1168,57386.04,7/19/2006
Jonathan Brewer,Other,French,Management,Assistant Manager,25,7/7/2000,lindajones@example.com,(452)924-9283x9576,"1415 Foster Landing
Bonillamouth, UT 75026",4/1/2015,Full-time,EMP1169,76134.52,
Amanda Thomas,Other,Indian,Sales,Senior Salesperson,47,4/29/1978,chloeglover@example.com,(426)731-8756x7709,"515 Paula Lodge
Rodriguezburgh, UT 77424",4/29/1983,Part-time,EMP1170,61201.09,
Dan Carlson,Male,Canadian,Customer Service,Customer Service Rep,58,8/29/1967,cwhite@example.org,435-678-7553,"89491 Sanford Villages
New Thomas, AR 30920",7/5/1987,Freelance,EMP1171,79012.73,
Kristin Newman,Female,British,Management,Store Manager,44,11/12/1981,elizabethtyler@example.net,+1-566-380-2006x87113,"3446 Wells Forest Apt. 009
Lake Bonnie, MH 86232",1/27/2000,Freelance,EMP1172,27105.82,4/4/2003
Colton Castaneda,Female,French,Cashier,Lead Cashier,52,2/2/1973,osmith@example.net,001-523-304-8010,"PSC 5676, Box 9603
APO AP 57805",3/10/1963,Full-time,EMP1173,74818.69,12/4/1970
Darrell Gross,Female,Canadian,Cashier,Lead Cashier,54,11/28/1971,ortizjacob@example.com,484-458-9818x3440,"4477 Moses Pass Suite 468
Thompsonview, OR 53980",1/14/1996,Freelance,EMP1174,49524.77,
Amanda Brady,Female,Canadian,Customer Service,Customer Service Rep,25,5/16/2000,catherine48@example.org,318.527.4565x995,"015 Keith Ports
Debrashire, NM 24283",1/31/2009,Full-time,EMP1175,56903.73,
David Williams,Female,Mexican,Inventory,Warehouse Assistant,31,3/23/1994,ramirezshannon@example.com,931-668-9250,"Unit 2958 Box 7040
DPO AP 95270",10/19/2017,Part-time,EMP1176,63650.63,6/21/2025
Gary Gates,Female,Mexican,Inventory,Warehouse Assistant,20,2/23/2005,donovanlaura@example.net,(962)894-0859x15772,"73223 Mccarty Park
East Jessica, MD 39681",5/13/2030,Part-time,EMP1177,39798.14,
Raven Adams,Female,American,Cashier,Cashier,49,4/30/1976,nicholas09@example.com,(568)913-3623,"519 George Ridge
North Michael, PR 23631",1/1/1998,Temporary,EMP1178,70736.61,4/2/2003
Michael Dean,Male,German,Management,Store Manager,28,3/21/1997,whitney15@example.net,358.942.7164,"8954 Carlos Center
Stevenshire, NM 20489",9/6/2006,Part-time,EMP1179,55548.47,5/8/2012
Dr. Rebecca Wright DDS,Female,Mexican,Customer Service,Support Agent,21,12/6/2004,josephthompson@example.com,240.622.3152,"41370 Angela Village
Autumnborough, NY 54916",5/7/2014,Freelance,EMP1180,35450.81,
James Kelley,Other,Canadian,Sales,Senior Salesperson,53,1/19/1972,invalid_email.com,(366)222-2402x268,"680 Gomez Path Apt. 861
Colemanfort, GU 94965",1/17/1961,Part-time,EMP1181,59487.99,
Robert Herrera,Other,British,Sales,Sales Associate,47,5/23/1978,heatherramirez@example.org,580-335-8797,"18481 Denise Mountains
Adamside, AK 55453",6/9/1983,Part-time,EMP1182,72247.17,3/24/1993
Elizabeth Baker,Female,British,Sales,Senior Salesperson,45,4/27/1980,jacksonemma@example.com,001-316-647-7567,"1464 Dana Summit Suite 795
North Dale, ID 92593",11/2/1988,Part-time,EMP1183,35027.91,6/18/1991
Amber Fuller,Female,French,Cashier,Cashier,21,6/15/2004,savannah22@example.com,865-813-8260,"8148 Stephen Camp
Jessicamouth, AK 60301",11/1/2019,Full-time,EMP1184,36649.53,10/15/2021
Natasha Reid,Male,British,Management,Assistant Manager,25,7/24/2000,larrylewis@example.org,604-769-3464,"2114 Lisa Lodge
Bradleyfurt, ME 29658",1/1/2001,Temporary,EMP1185,27910.53,12/30/2007
Scott Grimes,Female,Indian,Cashier,Lead Cashier,61,7/10/1964,daisy50@example.com,001-381-427-8789,"417 Kevin Well
Lake Alyssachester, NV 51252",1/31/1987,Full-time,EMP1186,69279.43,8/8/1988
Jeff Martinez,Other,Canadian,Customer Service,Customer Service Rep,60,10/20/1965,jessicasmith@example.net,9614701688,"0573 Brewer Centers
Lake Anthony, MN 05483",7/30/1962,Part-time,EMP1187,59558.68,1/30/1971
Robin Pitts,Male,Canadian,Inventory,Warehouse Assistant,39,7/17/1986,diazdeborah@example.com,728.556.3492x0278,"PSC 0732, Box 5307
APO AA 51488",11/7/2007,Full-time,EMP1188,34409.63,
Stephanie Williams,Male,German,Inventory,Stock Clerk,30,10/4/1995,howardbrittney@example.net,881.824.9682x7723,"USNV Palmer
FPO AA 38737",11/2/1999,Full-time,EMP1189,30054.63,5/5/2004
Karen May,Male,Canadian,Customer Service,Customer Service Rep,29,7/21/1996,tamara49@example.com,(275)293-7907,"USCGC Holland
FPO AP 94800",9/19/2002,Temporary,EMP1190,70769.06,
Melissa Rios,Other,British,Inventory,Warehouse Assistant,28,4/2/1997,robert17@example.org,(391)409-6240x944,"0349 Mitchell Gateway Apt. 721
West Jeffery, CT 23531",11/6/2018,Part-time,EMP1191,49776.48,
Eduardo Thompson,Female,American,Sales,Senior Salesperson,28,6/1/1997,diamond36@example.org,360.470.3763x77438,"9745 Burton Drive
Walkerland, MH 96363",3/19/2006,Part-time,EMP1192,60155.87,9/6/2015
Melinda Williams,Other,Canadian,Customer Service,Customer Service Rep,55,12/13/1970,frankharris@example.net,984-395-0053,"705 Jennifer Oval
East Christopher, AS 12092",4/9/1989,Full-time,EMP1193,72680.28,
Dana Davis,Male,Indian,Cashier,Lead Cashier,54,7/18/1971,baileydavid@example.org,442-528-2381,"481 Mendoza Forge
Adamsburgh, NH 53893",7/24/1982,Temporary,EMP1194,46858.8,
Jacob Dickerson,Female,German,Customer Service,Support Agent,50,12/30/1975,elizabeth24@example.net,426-708-2464x92862,"79722 Amanda Green
Shawborough, UT 50526",4/6/1977,Temporary,EMP1195,68201.18,11/19/1981
Scott Ferguson,Male,Indian,Inventory,Stock Clerk,63,1/17/1962,ssmith@example.com,7549927834,"6843 Alexandra Terrace
Joshuafort, MN 88335",2/24/1967,Part-time,EMP1196,44272.13,
Jessica Moore,Female,British,Cashier,Lead Cashier,55,1/21/1970,malik04@example.net,802.868.1236,"9159 Ronald Track Apt. 817
Smithshire, VI 37415",9/12/1982,Temporary,EMP1197,78827.85,
Tiffany Williams,Other,German,Sales,Senior Salesperson,18,10/17/2007,mark16@example.com,+1-401-535-5369x817,"Unit 0631 Box 9959
DPO AE 34449",11/22/2001,Freelance,EMP1198,47273.24,12/21/2004
Daniel Mack,Other,British,Cashier,Lead Cashier,59,12/23/1966,lopezjacob@example.org,413.836.8866,"76130 Coleman Bridge
North Kathrynstad, VA 55762",1/17/1989,Full-time,EMP1199,46453.99,
Gregory Schaefer,Male,German,Management,Assistant Manager,31,6/16/1994,patricia23@example.net,+1-637-539-5838x4118,"988 Mcknight Overpass
Davisburgh, FL 82858",2/23/2019,Part-time,EMP1200,63198.14,
Teresa Scott,Female,Mexican,Customer Service,Support Agent,20,5/14/2005,robert31@example.net,001-861-449-7494,"9714 Warren Groves Suite 449
Kristinamouth, VT 69368",2/18/2018,Full-time,EMP1201,75308.06,1/10/2021
Adam Howard,Other,British,Customer Service,Customer Service Rep,49,11/25/1976,amandaanderson@example.org,8592720822,,11/28/1983,Full-time,EMP1202,74684.27,7/23/1991
Dr. Suzanne Adams,Male,Indian,Sales,Senior Salesperson,40,9/24/1985,jasminegreen@example.org,,"65097 May Road Apt. 988
Ellisbury, MD 86469",2/19/2010,Part-time,EMP1203,71511.83,3/14/2015
Steven Kelly,Male,Canadian,Sales,Sales Associate,30,10/7/1995,megan79@example.com,(282)548-4440x61480,"915 Bradley Views
West Dawnfort, KS 68250",6/12/2021,Freelance,EMP1204,74855.59,
Ronald Kelley,Female,German,Sales,Sales Associate,24,6/26/2001,jacobthompson@example.com,001-260-589-3292x856,"72131 Lori Circle
Davidsonside, MO 07973",12/13/1994,Temporary,EMP1205,77785.78,1/4/2001
Patrick Phillips,Female,French,Customer Service,Customer Service Rep,47,10/8/1978,xgriffin@example.com,245-279-4966x0780,"47946 Patrick Vista
Nicolefort, DE 60750",9/30/1999,Part-time,EMP1206,50998.62,10/22/2000
William Taylor,Male,Canadian,Sales,Senior Salesperson,38,7/13/1987,nhooper@example.net,538-348-9246,"7643 Mosley Hills
Lisamouth, OK 32122",12/10/1981,Freelance,EMP1207,42647.73,8/3/1983
Barbara Jones,Other,American,Inventory,Stock Clerk,46,4/27/1979,libarra@example.net,(676)937-1921x38297,"USNV Murphy
FPO AP 41283",9/12/1974,Freelance,EMP1208,48832.09,
Karen Robinson,Male,French,Inventory,Warehouse Assistant,45,2/17/1980,hmullins@example.org,584-978-9886,"003 Adams Vista
Lake Kimberlychester, NH 14853",3/4/1978,Full-time,EMP1209,60934.94,
Catherine Morrow,Female,Indian,Customer Service,Support Agent,44,5/16/1981,harrismichael@example.com,001-792-564-9484,"00923 Bennett Mount Apt. 780
Rodgersfort, IA 92659",12/26/1987,Temporary,EMP1210,66526.35,4/28/1991
Robert Weber,Other,Canadian,Cashier,Lead Cashier,52,9/24/1973,nicholstammie@example.com,+1-674-632-6922x99389,"PSC 4542, Box 0152
APO AA 69659",3/31/1976,Freelance,EMP1211,61456.49,
Richard Allen,Other,French,Management,Assistant Manager,22,6/24/2003,ywoodard@example.org,2618112884,"4521 Hanson Junctions Suite 859
Robertfurt, IL 14852",3/9/2019,Temporary,EMP1212,26235.52,8/22/2024
Stephanie Castillo,Female,German,Inventory,Stock Clerk,58,12/21/1967,charles64@example.net,+1-844-663-5779x119,"220 Jerry Fall Suite 474
Burnsville, ND 32037",4/14/1990,Temporary,EMP1213,52040.62,
Brian Rodriguez,Female,Mexican,Cashier,Cashier,52,6/9/1973,mcclurepatricia@example.com,+1-865-713-5992x021,"0558 Miller Course Suite 445
Jasonfort, WY 84836",8/29/1996,Part-time,EMP1214,47348.38,5/26/2000
Molly Gonzalez,Other,American,Cashier,Lead Cashier,34,1/10/1991,rachel44@example.org,6369399386,"9618 Kevin Parkway
Kennethshire, AS 49504",1/28/2012,Part-time,EMP1215,44688.98,12/13/2021
Terri Lang,Male,British,Customer Service,Support Agent,26,4/7/1999,heather75@example.com,714.347.8515,"9339 Davis Land Suite 361
Hectorport, TN 42014",9/15/2017,Part-time,EMP1216,32332.94,7/6/2023
Elizabeth Bradshaw,Other,French,Sales,Sales Associate,37,3/5/1988,wbryan@example.net,343-673-4289,"002 Stephanie Route
Robinberg, VA 81869",11/23/1984,Temporary,EMP1217,32207.96,9/21/1992
Miss Sherri Palmer,Other,German,Management,Assistant Manager,18,9/6/2007,invalid_email.com,+1-757-995-2042x63059,"98026 Zachary Stream
Robbinsborough, LA 32112",7/5/2010,Freelance,EMP1218,32875.08,
Terry Daniels,Female,German,Management,Assistant Manager,26,5/7/1999,thompsonrobert@example.com,+1-252-634-3065x00016,"99810 Weaver Coves Apt. 454
Davisfort, AL 06921",6/16/2015,Part-time,EMP1219,73435.65,7/13/2019
John Smith,Female,French,Management,Store Manager,51,8/15/1974,invalid_email.com,+1-324-913-4391x8096,"304 Snow Manor Suite 223
Johnsonfort, MI 54882",11/1/1977,Part-time,EMP1220,56090.27,
Laura Smith,Male,British,Inventory,Warehouse Assistant,18,6/25/2007,invalid_email.com,+1-492-786-6956x062,"14477 Elizabeth Points
Bentleystad, MH 33420",2/23/2003,Full-time,EMP1221,47710.71,
Joshua Andrews,Other,Indian,Cashier,Cashier,32,8/28/1993,invalid_email.com,001-275-792-1146,"867 Foster Mountain Apt. 713
Thomasberg, VA 07745",8/14/2004,Full-time,EMP1222,77758.74,
Jason Mathews,Other,Indian,Sales,Senior Salesperson,27,8/31/1998,catherinelamb@example.org,001-491-728-5683,"35901 Decker Isle Suite 081
Larrystad, NJ 17511",3/14/2015,Freelance,EMP1223,54708.99,2/2/2019
Frances Lawson,Other,Indian,Inventory,Stock Clerk,34,3/6/1991,jessica90@example.net,(929)615-4398,"6549 Kristen Ville
Danaland, AK 75218",1/28/2001,Part-time,EMP1224,62702.54,
Larry Savage,Female,Mexican,Inventory,Warehouse Assistant,35,1/3/1990,brownmary@example.net,7457930214,"7587 Glass Brook
South Amandahaven, NM 96229",11/3/1992,Part-time,EMP1225,78866.63,
Andrea Wise,Other,German,Cashier,Lead Cashier,44,7/23/1981,invalid_email.com,+1-785-518-8104x645,"48058 Terri Parkways
Port Phillip, NE 44893",10/17/1972,Full-time,EMP1226,34910.12,9/27/1982
Dr. Anna Murphy DDS,Male,British,Cashier,Lead Cashier,30,11/16/1995,owenscharles@example.net,911.736.5796,"0619 Lester Lakes
Davisshire, AZ 13668",2/6/1991,Full-time,EMP1227,28754.7,
Ana Everett,Male,German,Cashier,Lead Cashier,47,7/10/1978,brichards@example.com,540.826.0371x925,"67466 Barnes Key
Knightberg, CT 18236",7/21/1999,Freelance,EMP1228,45105.83,
Adam Briggs,Female,Mexican,Sales,Sales Associate,32,3/22/1993,frederick13@example.org,(251)596-0973x6007,"996 Lopez Islands
East Joseph, TX 01833",2/19/1996,Freelance,EMP1229,28474.06,2/1/2001
Ashley Smith,Other,American,Inventory,Warehouse Assistant,31,1/25/1994,ycastro@example.net,001-404-593-5122,"29864 Isabel River
South Traceyfurt, DE 96354",2/15/2013,Full-time,EMP1230,38883,6/24/2015
Ronald Rodriguez,Male,German,Sales,Sales Associate,62,4/25/1963,ypierce@example.org,(934)475-4867,"PSC 3746, Box 1368
APO AP 46327",7/18/1966,Part-time,EMP1231,57455,8/11/1971
Nancy Fisher,Male,French,Customer Service,Support Agent,31,10/18/1994,michael30@example.net,001-524-256-4484x578,"57359 Paul Mountains Apt. 966
West Carolynville, CO 21971",7/30/1985,Part-time,EMP1232,34148.02,5/22/1987
Madison Parks,Female,Indian,Sales,Senior Salesperson,38,8/19/1987,invalid_email.com,536-400-9390,"USS Holder
FPO AE 43196",10/22/2007,Full-time,EMP1233,51518.4,
Bailey Hill,Other,French,Inventory,Stock Clerk,42,5/14/1983,tyler32@example.com,592.886.3923,"442 Crawford Knolls Suite 790
Port Logan, HI 95086",1/10/1981,Temporary,EMP1234,52159.81,9/22/1985
Amber Dawson,Female,French,Cashier,Cashier,49,8/16/1976,davisedward@example.org,,"99418 Ellis Greens Suite 442
West Brittanytown, WY 99207",9/9/1976,Part-time,EMP1235,51467.18,
Ashley Gutierrez,Other,French,Cashier,Lead Cashier,27,8/22/1998,ashley26@example.org,(268)623-9161x79770,"579 Cannon Prairie Suite 849
Jennifershire, GU 20565",10/8/1991,Temporary,EMP1236,56803.83,
Adrian Smith,Other,British,Management,Store Manager,56,4/26/1969,bkline@example.org,(416)960-6138x53967,"2499 Jennifer Square Suite 899
Fitzpatrickchester, VT 90465",6/11/1978,Part-time,EMP1237,48208.06,7/25/1987
Richard Salazar,Other,Canadian,Customer Service,Customer Service Rep,58,10/8/1967,rjones@example.org,,"7916 Lee Mission
West Johnstad, DC 26044",6/7/1962,Temporary,EMP1238,78686.94,6/26/1970
Dennis Nguyen,Female,Canadian,Sales,Senior Salesperson,26,11/20/1999,scott50@example.org,(660)338-7259,"7670 Angel Centers
Harrellview, NJ 83269",2/19/1987,Part-time,EMP1239,34482.29,12/16/1993
Sylvia Newton,Female,American,Management,Store Manager,34,10/5/1991,tiffanymanning@example.com,304.727.0491x2516,"030 Roberts Via Suite 920
Anthonyside, MD 29802",10/1/1996,Temporary,EMP1240,44980.28,9/5/1999
Kelly Glenn,Female,American,Inventory,Stock Clerk,150,3/19/1967,leeleslie@example.org,+1-446-480-8592x909,"63808 Monique Prairie Suite 754
North Eric, PW 23453",11/27/1960,Temporary,EMP1241,61526.93,5/29/1969
Larry Price,Female,Mexican,Sales,Sales Associate,55,5/13/1970,gardnersamuel@example.net,,"061 Nguyen Drives
Lake Christopher, CA 33152",6/29/1989,Freelance,EMP1242,57839.52,4/30/1999
Michael Liu,Male,French,Sales,Sales Associate,45,7/15/1980,suarezchristopher@example.org,001-448-310-3281,"82732 Haley Ramp
West Aprilville, PA 71247",12/25/1967,Freelance,EMP1243,77199.56,8/22/1977
Kiara Barrett,Male,Mexican,Inventory,Warehouse Assistant,36,7/27/1989,cchen@example.net,553-429-1879x80886,"70997 Angela Forest
Lake Jacob, NE 28992",8/6/1991,Temporary,EMP1244,60608.4,12/1/1997
Holly Wilson,Male,French,Sales,Senior Salesperson,150,5/15/1967,mitchelljessica@example.com,240-805-3968,"88337 Robinson Island
Griffithhaven, AS 26857",7/30/1970,Freelance,EMP1245,38693.74,6/27/1976
Donald Sherman,Other,Indian,Cashier,Cashier,64,1/13/1961,michaelroy@example.org,(213)376-7105x21804,"509 Jason Light
Williamsonshire, SD 34425",5/28/1971,Part-time,EMP1246,41015.23,
Michele Erickson,Female,French,Management,Assistant Manager,24,2/27/2001,charles85@example.com,(339)401-4323x14377,"84474 Dominguez Shores
Mosleychester, VI 42197",7/6/1990,Part-time,EMP1247,74631.89,
Melissa Rodriguez,Other,German,Management,Assistant Manager,-5,3/23/1985,matthew67@example.org,(678)849-9149,"52071 Pineda Plains
West Amber, VI 36482",10/5/1979,Part-time,EMP1248,35621.77,
Amy Hines,Male,British,Cashier,Lead Cashier,63,10/2/1962,adamsjesse@example.com,+1-200-825-3381x0090,"0913 Ball Track
Diazshire, WV 97206",5/13/1989,Part-time,EMP1249,72800.18,2/21/1999
Natasha Morrison,Other,Indian,Customer Service,Customer Service Rep,22,8/3/2003,ewilliams@example.com,627-538-5250x627,"72278 Angela Roads Suite 258
Juliefort, SC 21244",8/30/2009,Freelance,EMP1250,38412.52,2/13/2011
Angela Black,Male,French,Cashier,Lead Cashier,61,1/2/1964,sylviagreen@example.org,001-415-984-2144x4134,,12/13/1962,Part-time,EMP1251,51372.3,
Cindy Watkins,Female,American,Sales,Sales Associate,27,8/17/1998,jessica64@example.com,(571)442-9525x659,"65366 Hannah Roads
East Marcusstad, DC 75006",9/18/2013,Part-time,EMP1252,35403.14,10/27/2022
Jeremiah Mcknight,Male,Indian,Cashier,Lead Cashier,52,8/5/1973,markburns@example.com,+1-208-946-0457x683,,5/30/1996,Freelance,EMP1253,41753.42,7/17/1997
Thomas Grant,Female,Canadian,Management,Assistant Manager,44,9/5/1981,bcampos@example.net,543-825-6735,,7/31/1980,Freelance,EMP1254,69710.35,
Sarah Griffin MD,Female,German,Cashier,Lead Cashier,37,11/1/1988,lorimejia@example.com,+1-536-837-3271x40866,"14938 Michelle Keys
West Jeremy, MI 37401",10/6/2012,Freelance,EMP1255,32886.98,3/23/2019
Carlos Guerrero,Other,Mexican,Cashier,Cashier,46,12/30/1979,joshualiu@example.com,222-361-6875x6280,"Unit 0620 Box 6610
DPO AA 10393",2/23/2000,Temporary,EMP1256,38518.56,3/11/2007
Patrick Brown,Male,German,Sales,Senior Salesperson,59,10/24/1966,mmiller@example.org,(726)443-2527x18054,,12/13/1983,Temporary,EMP1257,47738.35,8/13/1991
Timothy Miller,Female,British,Customer Service,Customer Service Rep,34,7/18/1991,erica34@example.net,(778)683-4383,"076 Zhang Freeway
Spencerchester, IA 98417",2/21/1986,Full-time,EMP1258,71420.37,
Maureen Orr,Male,French,Sales,Sales Associate,26,8/5/1999,lyonsjustin@example.com,(829)915-2018x319,"4477 Mcdonald Highway Suite 452
Wesleyfort, AS 58113",9/12/2004,Temporary,EMP1259,36717.66,3/16/2010
